-86	0.55
-85	0.48
-83	0.45
-81.961	0.417
-81.093	0.423
-79.907	0.313
-78.589	0.236
-78	0.1129
-77	0.0324
-76	-0.0469
-75	-0.125
-74	-0.2019
-73	-0.2776
-72	-0.3521
-71	-0.4254
-70	-0.4975
-69	-0.5684
-68	-0.6381
-67	-0.7066
-66	-0.7739
-65	-0.84
-64	-0.9049
-63	-0.9686
-62	-1.0311
-61	-1.0924
-60	-1.1525
-59	-1.2114
-58	-1.2691
-57	-1.3256
-56	-1.3809
-55	-1.435
-54	-1.4879
-53	-1.5396
-52	-1.5901
-51	-1.6394
-50	-1.6875
-49	-1.7344
-48	-1.7801
-47	-1.8246
-46	-1.8679
-45	-1.91
-44	-1.9509
-43	-1.9906
-42	-2.0291
-41	-2.0664
-40	-2.1025
-39	-2.1374
-38	-2.1711
-37	-2.2036
-36	-2.2349
-35	-2.265
-34	-2.2939
-33	-2.3216
-32	-2.3481
-31	-2.3734
-30	-2.3975
-29	-2.4204
-28	-2.4421
-27	-2.4626
-26	-2.4819
-25	-2.5
-24	-2.5169
-23	-2.5326
-22	-2.5471
-21	-2.5604
-20	-2.5725
-19	-2.5834
-18	-2.5931
-17	-2.6016
-16	-2.6089
-15	-2.615
-14	-2.6199
-13	-2.6236
-12	-2.6261
-11	-2.6274
-10	-2.6275
-9	-2.6264
-8	-2.6241
-7	-2.6206
-6	-2.6159
-5	-2.61
-4	-2.6029
-3	-2.5946
-2	-2.5851
-1	-2.5744
0	-2.5625
1	-2.5494
2	-2.5351
3	-2.5196
4	-2.5029
5	-2.485
6	-2.4659
7	-2.4456
8	-2.4241
9	-2.4014
10	-2.3775
11	-2.3524
12	-2.3261
13	-2.2986
14	-2.2699
15	-2.24
16	-2.2089
17	-2.1766
18	-2.1431
19	-2.1084
20	-2.0725
21	-2.0354
22	-1.9971
23	-1.9576
24	-1.9169
25	-1.875
26	-1.8319
27	-1.7876
28	-1.7421
29	-1.6954
30	-1.6475
31	-1.5984
32	-1.5481
33	-1.4966
34	-1.4439
35	-1.39
36	-1.3349
37	-1.2786
38	-1.2211
39	-1.1624
40	-1.1025
41	-1.0414
42	-0.9791
43	-0.9156
44	-0.8509
45	-0.785
46	-0.7179
47	-0.6496
48	-0.5801
49	-0.5094
50	-0.4375
51	-0.3644
52	-0.2901
53	-0.2146
54	-0.1379
55	-0.06
56	0.0191
57	0.0994
58	0.1809
59	0.2636
60	0.3475
61	0.4326
62	0.5189
63	0.6064
64	0.6951
65	0.785
66	0.8761
67	0.9684
68	1.0619
70	1.0941
69	1.0158
68	0.9385
67	0.8622
66	0.7869
65	0.7126
64	0.6393
63	0.567
62	0.4957
61	0.4254
60	0.3561
59	0.2878
58	0.2205
57	0.1542
56	0.0889
55	0.0246
54	-0.0387
53	-0.101
52	-0.1623
51	-0.2226
50	-0.2819
49	-0.3402
48	-0.3975
47	-0.4538
46	-0.5091
45	-0.5634
44	-0.6167
43	-0.669
42	-0.7203
41	-0.7706
40	-0.8199
39	-0.8682
38	-0.9155
37	-0.9618
36	-1.0071
35	-1.0514
34	-1.0947
33	-1.137
32	-1.1783
31	-1.2186
30	-1.2579
29	-1.2962
28	-1.3335
27	-1.3698
26	-1.4051
25	-1.4394
24	-1.4727
23	-1.505
22	-1.5363
21	-1.5666
20	-1.5959
19	-1.6242
18	-1.6515
17	-1.6778
16	-1.7031
15	-1.7274
14	-1.7507
13	-1.773
12	-1.7943
11	-1.8146
10	-1.8339
9	-1.8522
8	-1.8695
7	-1.8858
6	-1.9011
5	-1.9154
4	-1.9287
3	-1.941
2	-1.9523
1	-1.9626
0	-1.9719
-1	-1.9802
-2	-1.9875
-3	-1.9938
-4	-1.9991
-5	-2.0034
-6	-2.0067
-7	-2.009
-8	-2.0103
-9	-2.0106
-10	-2.0099
-11	-2.0082
-12	-2.0055
-13	-2.0018
-14	-1.9971
-15	-1.9914
-16	-1.9847
-17	-1.977
-18	-1.9683
-19	-1.9586
-20	-1.9479
-21	-1.9362
-22	-1.9235
-23	-1.9098
-24	-1.8951
-25	-1.8794
-26	-1.8627
-27	-1.845
-28	-1.8263
-29	-1.8066
-30	-1.7859
-31	-1.7642
-32	-1.7415
-33	-1.7178
-34	-1.6931
-35	-1.6674
-36	-1.6407
-37	-1.613
-38	-1.5843
-39	-1.5546
-40	-1.5239
-41	-1.4922
-42	-1.4595
-43	-1.4258
-44	-1.3911
-45	-1.3554
-46	-1.3187
-47	-1.281
-48	-1.2423
-49	-1.2026
-50	-1.1619
-51	-1.1202
-52	-1.0775
-53	-1.0338
-54	-0.9891
-55	-0.9434
-56	-0.8967
-57	-0.849
-58	-0.8003
-59	-0.7506
-60	-0.6999
-61	-0.6482
-62	-0.5955
-63	-0.5418
-64	-0.4871
-65	-0.4314
-66	-0.3747
-67	-0.317
-68	-0.2583
-69	-0.1986
-70	-0.1379
-71	-0.0762
-72	-0.0135
-73	0.0502
-74	0.1149
-75	0.1806
-76	0.2473
-77	0.315
-77.605	0.324
-78.918	0.412
-82.576	0.538
-84	0.57
-86	0.59
-87	0.6
